KEY,CN,TC_NT,TC_USD
Text94,进化,進化,進化
Text95,忍者突破到第六席解锁变身技,忍者突破到第六席解鎖變身技,忍者突破到第六席解鎖變身技
Text96,普通培养,普通培養,普通培養
Text97,专家培养,專家培養,專家培養
Text98,大师培养,大師培養,大師培養
Text99,你确定要注销吗？,你確定要註銷嗎？,你確定要註銷嗎？
Text100,我的排名,我的排名,我的排名
Text101,排名,排名,排名
Text102,材料不足，先去收集一些材料吧,材料不足，先去收集一些材料吧,材料不足，先去收集一些材料吧
Text103,金币不足，确定前往商店购买？,金幣不足，確定前往商店購買？,金幣不足，確定前往商店購買？
Text104,固灵丸,固靈丸,固靈丸
Text105,灵化硝子,靈化硝子,靈化硝子
Text106,武器,武器,武器
Text107,上衣,上衣,上衣
Text108,鞋子,鞋子,鞋子
Text109,下衣,下衣,下衣
Text110,进阶需要{0}金币，是否继续？,進階需要{0}金幣，是否繼續？,進階需要{0}金幣，是否繼續？
Text111,{0}级开启下一阵位,{0}級開啟下一陣位,{0}級開啟下一陣位
Text112,暂无忍者碎片，是否前往招募?,暫無忍者碎片，是否前往招募?,暫無忍者碎片，是否前往招募?
Text113,暂无{0}，是否去合成？,暫無{0}，是否去合成？,暫無{0}，是否去合成？
Text114,新阵位解锁，是否前往看看？,新陣位解鎖，是否前往看看？,新陣位解鎖，是否前往看看？
Text115,解锁等级：[ff0000]{0}[-]级！,解鎖等級：[ff0000]{0}[-]級！,解鎖等級：[ff0000]{0}[-]級！
Text116,通过区域：[ff0000]{0}[-]！,通過區域：[ff0000]{0}[-]！,通過區域：[ff0000]{0}[-]！
Text117,下次收益时间：,下次收益時間：,下次收益時間：
Text118,发现者：{0},發現者：{0},發現者：{0}
Text119,发现逃忍{0}入侵，是否前往围剿？,發現逃忍{0}入侵，是否前往圍剿？,發現逃忍{0}入侵，是否前往圍剿？
Text120,逃跑时间：{0},逃跑時間：{0},逃跑時間：{0}
Text121,忍者进化等级越高，[ffff00]攻击倍数[-] 越高！,忍者進化等級越高，[ffff00]攻擊倍數[-] 越高！,忍者進化等級越高，[ffff00]攻擊倍數[-] 越高！
Text122,未发现逃忍，攻打主线副本时有几率触发逃忍。,未發現逃忍，攻打主線副本時有幾率觸發逃忍。,未發現逃忍，攻打主線副本時有幾率觸發逃忍。
Text123,{0}全力一击消耗讨伐令减半,{0}全力一擊消耗討伐令減半,{0}全力一擊消耗討伐令減半
Text124,{0}攻打逃忍获得功勋翻倍,{0}攻打逃忍獲得功勳翻倍,{0}攻打逃忍獲得功勳翻倍
Text125,功勋值和功勋奖励列表每天24:00更新,功勳值和功勳獎勵列表每天24:00更新,功勳值和功勳獎勵列表每天24:00更新
Text126,功勋：[ffe45e]{0}[-],功勳：[ffe45e]{0}[-],功勳：[ffe45e]{0}[-]
Text127,[ffff96]我的排行：[-]{0},[ffff96]我的排行：[-]{0},[ffff96]我的排行：[-]{0}
Text128,[ffff96]我的排行：[-]未上榜,[ffff96]我的排行：[-]未上榜,[ffff96]我的排行：[-]未上榜
Text129,当前积分：{0},當前積分：{0},當前積分：{0}
Text130,伤害：[fedb4f]{0}[-],傷害：[fedb4f]{0}[-],傷害：[fedb4f]{0}[-]
Text131,金币助威需要消耗{0}金币，确定要助威吗？[ffe45e]                    (有机率失败)[-],金幣助威需要消耗{0}金幣，確定要助威嗎？[ffe45e]                    (有機率失敗)[-],金幣助威需要消耗{0}金幣，確定要助威嗎？[ffe45e]                    (有機率失敗)[-]
Text132,钻石助威需要消耗{0}钻石，确定要助威吗？,鑽石助威需要消耗{0}鑽石，確定要助威嗎？,鑽石助威需要消耗{0}鑽石，確定要助威嗎？
Text133,每日[fedb4f]{0}[-]开启,每日[fedb4f]{0}[-]開啟,每日[fedb4f]{0}[-]開啟
Text134,助威失败！,助威失敗！,助威失敗！
Text135,助威成功，伤害： +{0}%,助威成功，傷害： +{0}%,助威成功，傷害： +{0}%
Text136,伤害加成:\n{0}%,傷害加成:\n{0}%,傷害加成:\n{0}%
Text137,我的当前伤害：[00ff0c]{0}[-],我的當前傷害：[00ff0c]{0}[-],我的當前傷害：[00ff0c]{0}[-]
Text138,开战倒计时：{0},開戰倒計時：{0},開戰倒計時：{0}
Text139,要邀请好友一起围剿逃忍吗？,要邀請好友一起圍剿逃忍嗎？,要邀請好友一起圍剿逃忍嗎？
Text140,跨服荣誉币,跨服榮譽幣,跨服榮譽幣
Text141,在客户端错误提示中未找到该错误文本,在用戶端錯誤提示中未找到該錯誤文本,在用戶端錯誤提示中未找到該錯誤文本
Text142,超链接表出错 id->,超連結表出錯 id->,超連結表出錯 id->
Text143,uluaModule没加,uluaModule沒加,uluaModule沒加
Text144,对应的主预设路径？,對應的主預設路徑？,對應的主預設路徑？
Text145,超链接配置表出错,超連結配置表出錯,超連結配置表出錯
Text146,资源,資源,資源
Text147,觉醒装备碎片,覺醒裝備碎片,覺醒裝備碎片
Text148,装备,裝備,裝備
Text149,装备碎片,裝備碎片,裝備碎片
Text150,普通关卡 ,普通關卡,普通關卡
Text151,普通关卡,普通關卡,普通關卡
Text152,战败,戰敗,戰敗
Text153,对决 ,對決,對決
Text154,对决,對決,對決
Text155,_扫荡,_掃蕩,_掃蕩
Text156,次,次,次
Text157,普通关卡扫荡,普通關卡掃蕩,普通關卡掃蕩
Text158,对决扫荡,對決掃蕩,對決掃蕩
Text159,闯关,闖關,闖關
Text160,闯关上阵角色,闖關上陣角色,闖關上陣角色
Text161,掉落,掉落,掉落
Text162,(难度:,(難度:,(難度:
Text163,悬赏,懸賞,懸賞
Text164,试练,試練,試練
Text165,上阵角色,上陣角色,上陣角色
Text166,虚夜宫,虛夜宮,虛夜宮
Text167,虚夜宫开宝箱,虛夜宮開寶箱,虛夜宮開寶箱
Text168,虚夜宫上阵角色,虛夜宮上陣角色,虛夜宮上陣角色
Text169,竞技场等级分布,競技場等級分佈,競技場等級分佈
Text170,竞技场基本情况,競技場基本情況,競技場基本情況
Text171,竞技场产出,競技場產出,競技場產出
Text172,竞技场积分,競技場積分,競技場積分
Text173,金币抽卡,金幣抽卡,金幣抽卡
Text174,钻石抽卡,鑽石抽卡,鑽石抽卡
Text175,钻石十连抽,鑽石十連抽,鑽石十連抽
Text176,金币免费单抽,金幣免費單抽,金幣免費單抽
Text177,钻石免费单抽,鑽石免費單抽,鑽石免費單抽
Text178,金币十连抽,金幣十連抽,金幣十連抽
Text179,新手第一次钻石十连抽,新手第一次鑽石十連抽,新手第一次鑽石十連抽
Text180,新手第一次抽卡,新手第一次抽卡,新手第一次抽卡
Text181,新手第二次抽卡,新手第二次抽卡,新手第二次抽卡
Text182,抽卡频次,抽卡頻次,抽卡頻次
Text183,抽卡等级分布(等级_抽卡种类),抽卡等級分佈(等級_抽卡種類),抽卡等級分佈(等級_抽卡種類)
Text184,抽卡掉落,抽卡掉落,抽卡掉落
Text185,使用道具(类型_id_数量),使用道具(類型_id_數量),使用道具(類型_id_數量)
Text186,黑市,黑市,黑市
Text187,忍魂商店,忍魂商店,忍魂商店
Text188,学院商店,學院商店,學院商店
Text189,竞技场商店,競技場商店,競技場商店
Text190,永久黑市,永久黑市,永久黑市
Text191,商城,商城,商城
Text192,忍魂商店,忍魂商店,忍魂商店
Text193,学院道具商店,學院道具商店,學院道具商店
Text194,学院限时商店,學院限時商店,學院限時商店
Text195,学院奖励商店,學院獎勵商店,學院獎勵商店
Text196,跨服竞技场商店,跨服競技場商店,跨服競技場商店
Text197,商店,商店,商店
Text198,销量,銷量,銷量
Text199,刷新,刷新,刷新
Text200,消耗,消耗,消耗
Text201,觉醒装备直接购买销量(类型_id_数量),覺醒裝備直接購買銷量(類型_id_數量),覺醒裝備直接購買銷量(類型_id_數量)
Text202,觉醒装备直接购买销量,覺醒裝備直接購買銷量,覺醒裝備直接購買銷量
Text203,抽卡,抽卡,抽卡
Text204,使用道具,使用道具,使用道具
Text205,出售道具,出售道具,出售道具
Text206,角色升级,角色升級,角色升級
Text207,角色进阶,角色進階,角色進階
Text208,角色突破,角色突破,角色突破
Text209,穿觉醒装备,穿覺醒裝備,穿覺醒裝備
Text210,觉醒装备强化,覺醒裝備強化,覺醒裝備強化
Text211,觉醒装备一键强化,覺醒裝備一鍵強化,覺醒裝備一鍵強化
Text212,技能升级,技能升級,技能升級
Text213,碎片合成,碎片合成,碎片合成
Text214,扫荡,掃蕩,掃蕩
Text215,重置关卡,重置關卡,重置關卡
Text216,培养,培養,培養
Text217,锁定培养槽,鎖定培養槽,鎖定培養槽
Text218,保存培养属性,保存培養屬性,保存培養屬性
Text219,加灵络点,加靈絡點,加靈絡點
Text220,悬赏与试练,懸賞與試練,懸賞與試練
Text221,重置悬赏或试练,重置懸賞或試練,重置懸賞或試練
Text222,用悬赏令和试练令重置,用懸賞令和試練令重置,用懸賞令和試練令重置
Text223,商店购买物品,商店購買物品,商店購買物品
Text224,购买vip礼包,購買vip禮包,購買vip禮包
Text225,刷新商店,刷新商店,刷新商店
Text226,刷新一批玩家,刷新一批玩家,刷新一批玩家
Text227,打竞技场,打競技場,打競技場
Text228,清除cd,清除cd,清除cd
Text229,重置竞技场挑战次数,重置競技場挑戰次數,重置競技場挑戰次數
Text230,竞技场查看挑战记录,競技場查看挑戰記錄,競技場查看挑戰記錄
Text231,查看排行榜,查看排行榜,查看排行榜
Text232,查看玩家阵容信息,查看玩家陣容信息,查看玩家陣容信息
Text233,一键领取所以邮箱附件,一鍵領取所以郵箱附件,一鍵領取所以郵箱附件
Text234,领取邮箱附件,領取郵箱附件,領取郵箱附件
Text235,读邮件,讀郵件,讀郵件
Text236,删除邮件,刪除郵件,刪除郵件
Text237,签到奖励,簽到獎勵,簽到獎勵
Text238,购买体力,購買體力,購買體力
Text239,改名,改名,改名
Text240,换头像,換頭像,換頭像
Text241,创建玩家,創建玩家,創建玩家
Text242,挑战虚夜宫,挑戰虛夜宮,挑戰虛夜宮
Text243,打开虚夜宫宝箱,打開虛夜宮寶箱,打開虛夜宮寶箱
Text244,重置虚夜宫,重置虛夜宮,重置虛夜宮
Text245,领取任务,領取任務,領取任務
Text246,购买技能点,購買技能點,購買技能點
Text247,兑换礼包码,兌換禮包碼,兌換禮包碼
Text248,一键买觉醒装备,一鍵買覺醒裝備,一鍵買覺醒裝備
Text249,购买金币,購買金幣,購買金幣
Text250,挑战试炼塔,挑戰試煉塔,挑戰試煉塔
Text251,一键升级,一鍵升級,一鍵升級
Text252,试炼塔重置,試煉塔重置,試煉塔重置
Text253,试炼塔挑战,試煉塔挑戰,試煉塔挑戰
Text254,试炼塔扫荡,試煉塔掃蕩,試煉塔掃蕩
Text255,试炼塔领取宝箱,試煉塔領取寶箱,試煉塔領取寶箱
Text256,试炼塔购买次数,試煉塔購買次數,試煉塔購買次數
Text257,忍者分解,忍者分解,忍者分解
Text258,忍者重生,忍者重生,忍者重生
Text259,购买成长基金,購買成長基金,購買成長基金
Text260,活动-补签,活動-補簽,活動-補簽
Text261,活动-限时兑换,活動-限時兌換,活動-限時兌換
Text262,装备-合成,裝備-合成,裝備-合成
Text263,装备-强化,裝備-強化,裝備-強化
Text264,装备-一键强化,裝備-一鍵強化,裝備-一鍵強化
Text265,装备-培养,裝備-培養,裝備-培養
Text266,装备-培养十次,裝備-培養十次,裝備-培養十次
Text267,装备-进阶,裝備-進階,裝備-進階
Text268,装备-穿觉醒装备,裝備-穿覺醒裝備,裝備-穿覺醒裝備
Text269,装备-分解,裝備-分解,裝備-分解
Text270,试炼塔-挑战,試煉塔-挑戰,試煉塔-挑戰
Text271,试炼塔-重置,試煉塔-重置,試煉塔-重置
Text272,试炼塔-扫荡,試煉塔-掃蕩,試煉塔-掃蕩
Text273,试炼塔-领宝箱,試煉塔-領寶箱,試煉塔-領寶箱
Text274,试炼塔-购买挑战次数,試煉塔-購買挑戰次數,試煉塔-購買挑戰次數
Text275,领取活动奖励,領取活動獎勵,領取活動獎勵
Text276,购买商城,購買商城,購買商城
Text277,改换阵容,改換陣容,改換陣容
Text278,挑战巡逻,挑戰巡邏,挑戰巡邏
Text279,巡逻巡逻奖励,巡邏巡邏獎勵,巡邏巡邏獎勵
Text280,血脉升级,血脈升級,血脈升級
Text281,开始巡逻,開始巡邏,開始巡邏
Text282,围剿逃忍,圍剿逃忍,圍剿逃忍
Text283,围剿逃忍使用讨伐令,圍剿逃忍使用討伐令,圍剿逃忍使用討伐令
Text284,围剿逃忍_领奖,圍剿逃忍_領獎,圍剿逃忍_領獎
Text285,世界Boss领奖,世界Boss領獎,世界Boss領獎
Text286,世界Boss加Buff,世界Boss加Buff,世界Boss加Buff
Text287,世界Boss清CD,世界Boss清CD,世界Boss清CD
Text288,世界Boss挑战,世界Boss挑戰,世界Boss挑戰
Text289,日常积分领奖,日常積分領獎,日常積分領獎
Text290,参拜,參拜,參拜
Text291,挑战学院副本,挑戰學院副本,挑戰學院副本
Text292,使用学院副本挑战道具,使用學院副本挑戰道具,使用學院副本挑戰道具
Text293,领取参拜奖励,領取參拜獎勵,領取參拜獎勵
Text294,学院副本通关奖励,學院副本通關獎勵,學院副本通關獎勵
Text295,学院副本Boss宝箱,學院副本Boss寶箱,學院副本Boss寶箱
Text296,学院商店礼包,學院商店禮包,學院商店禮包
Text297,产出,產出,產出
Text298,VIP玩家等级分布,VIP玩家等級分佈,VIP玩家等級分佈
Text299,VIP礼包购买情况,VIP禮包購買情況,VIP禮包購買情況
Text300,日常,日常,日常
Text301,成就,成就,成就
Text302,完成,完成,完成
Text303,新手日志,新手日誌,新手日誌
Text304,账号登陆 ,帳號登陸,帳號登陸
Text305,选服 ,選服,選服
Text306,试炼塔 第,試煉塔 第,試煉塔 第
Text307,层_,層_,層_
Text308,试炼塔,試煉塔,試煉塔
Text309,装备-强化（名字-等级）,裝備-強化（名字-等級）,裝備-強化（名字-等級）
Text310,装备-进阶（名字-阶位）,裝備-進階（名字-階位）,裝備-進階（名字-階位）
Text311,普通修炼,普通修煉,普通修煉
Text312,专家修炼,專家修煉,專家修煉
Text313,大师修炼,大師修煉,大師修煉
Text314,装备-修炼（名字-类型）,裝備-修煉（名字-類型）,裝備-修煉（名字-類型）
Text315,装备-分解（名字-数量）,裝備-分解（名字-數量）,裝備-分解（名字-數量）
Text316,虚月宫商店,虛月宮商店,虛月宮商店
Text317,招募,招募,招募
Text318,竞技场,競技場,競技場
Text319,技能,技能,技能
Text320,邮件,郵件,郵件
Text321,排行榜,排行榜,排行榜
Text322,vip充值,vip储值,vip储值
Text323,试炼塔,試煉塔,試煉塔
Text324,忍者,忍者,忍者
Text325,灵络,靈絡,靈絡
Text326,图鉴,圖鑒,圖鑒
Text327,死神之路,死神之路,死神之路
Text328,日常任务,日常任務,日常任務
Text329,装备-合成,裝備-合成,裝備-合成
Text330,轮回,輪回,輪回
Text331,布阵,佈陣,佈陣
Text332,聊天,聊天,聊天
Text333,关卡详情,關卡詳情,關卡詳情
Text334,装备培养,裝備培養,裝備培養
Text335,合成,合成,合成
Text336,任务,任務,任務
Text337,背包,背包,背包
Text338,活动,活動,活動
Text339,选择忍者上阵,選擇忍者上陣,選擇忍者上陣
Text340,主界面,主介面,主介面
Text341,开始游戏,開始遊戲,開始遊戲
Text342,选服,選服,選服
Text343,装备列表,裝備列表,裝備列表
Text344,玩家行为（等级_操作）,玩家行為（等級_操作）,玩家行為（等級_操作）
Text345,模块使用(等级_模块),模組使用(等級_模組),模組使用(等級_模組)
Text346,模块推送,模組推送,模組推送
Text347,学院副本 ,學院副本,學院副本
Text348,学院副本,學院副本,學院副本
Text349,羁绊上阵,羈絆上陣,羈絆上陣
Text350,前往,前往,前往
Text351,确定,確定,確定
Text352,已解锁！,已解鎖！,已解鎖！
Text353,你当前VIP等级购买体力已达上限，是否确定升级VIP？,你當前VIP等級購買體力已達上限，是否確定升級VIP？,你當前VIP等級購買體力已達上限，是否確定升級VIP？
Text354,购买次数达到上限,購買次數達到上限,購買次數達到上限
Text355,获取灵子,獲取靈子,獲取靈子
Text356,获取体力,獲取體力,獲取體力
Text357,获取次数,獲取次數,獲取次數
Text358,拥有数量：,擁有數量：,擁有數量：
Text359,可购买次数：0,可購買次數：0,可購買次數：0
Text360,可购买次数：,可購買次數：,可購買次數：
Text361,[00ff00]提升VIP等级可增加购买次数[-],[00ff00]提升VIP等級可增加購買次數[-],[00ff00]提升VIP等級可增加購買次數[-]
Text362,[ff0000]已达最大可购买次数[-],[ff0000]已達最大可購買次數[-],[ff0000]已達最大可購買次數[-]
Text363,使用,使用,使用
Text364,你获得 [00ff00] 挑战次数 [-]X 1 ,你獲得 [00ff00] 挑戰次數 [-]X 1,你獲得 [00ff00] 挑戰次數 [-]X 1
Text365,你获得 [00ff00] 重置次数 [-]X 1 ,你獲得 [00ff00] 重置次數 [-]X 1,你獲得 [00ff00] 重置次數 [-]X 1
Text366,背包内没有该物品,背包內沒有該物品,背包內沒有該物品
Text367,你获得：[00ff00],你獲得：[00ff00],你獲得：[00ff00]
Text368,钻石不足，是否跳转到充值界面？,鑽石不足，是否跳轉到储值介面？,鑽石不足，是否跳轉到储值介面？
Text369,商城店内没有该物品出售！,商城店內沒有該物品出售！,商城店內沒有該物品出售！
Text370,你获得：,你獲得：,你獲得：
Text371,解锁等级：,解鎖等級：,解鎖等級：
Text373,任务进度:[00ff00],任務進度:[00ff00],任務進度:[00ff00]
Text374,推荐等级:[00ff00],推薦等級:[00ff00],推薦等級:[00ff00]
Text375,任务进度:[0aff00],任務進度:[0aff00],任務進度:[0aff00]
Text376,领取,領取,領取
Text377,[ffffff]进度:[-][00ff00],[ffffff]進度:[-][00ff00],[ffffff]進度:[-][00ff00]
Text390,可领取该奖励,可領取該獎勵,可領取該獎勵
Text391,还可领取额外奖励，是否提升VIP等级,還可領取額外獎勵，是否提升VIP等級,還可領取額外獎勵，是否提升VIP等級
Text392,进行补签的钻石不足，是否前往充值？,進行補簽的鑽石不足，是否前往储值？,進行補簽的鑽石不足，是否前往储值？
Text396,进度：[00ff00],進度：[00ff00],進度：[00ff00]
Text397,已领取,已領取,已領取
Text399,今日可兑换:,今日可兌換:,今日可兌換:
Text400,累计可兑换:,累計可兌換:,累計可兌換:
Text401,可兑换次数:,可兌換次數:,可兌換次數:
Text402,第 {0} 名,第 {0} 名,第 {0} 名
Text404,未上榜,未上榜,未上榜
Text405,我的战力：,我的戰力：,我的戰力：
Text406,   排名：,   排名：,   排名：
Text407,我的积分：,我的積分：,我的積分：
Text408,战力：,戰力：,戰力：
Text409,积分：,積分：,積分：
Text410,补签,補簽,補簽
Text411,分享,分享,分享
Text412,可分享,可分享,可分享
Text413,未激活,未啟動,未啟動
Text414,可领取,可領取,可領取
Text415,死神来了,死神來了,死神來了
Text416,放开那死神,放開那死神,放開那死神
Text417,分享成功,分享成功,分享成功
Text418,分享失败,分享失敗,分享失敗
Text421,邀请更多的伙伴一起玩耍吧！还可以获得丰厚的奖励哦！,邀請更多的夥伴一起玩耍吧！還可以獲得豐厚的獎勵哦！,邀請更多的夥伴一起玩耍吧！還可以獲得豐厚的獎勵哦！
Text422,开宴,開宴,開宴
Text423,招财,招財,招財
Text424,前往充值,前往储值,前往储值
Text425,您暂未上榜，请继续努力！,您暫未上榜，請繼續努力！,您暫未上榜，請繼續努力！
Text426,获奖名单,獲獎名單,獲獎名單
Text427,[ffffff]未上榜[-],[ffffff]未上榜[-],[ffffff]未上榜[-]
Text428,奖励预览,獎勵預覽,獎勵預覽
Text429,冲榜排行,沖榜排行,沖榜排行
Text430,领取礼包,領取禮包,領取禮包
Text434,成长基金,成長基金,成長基金
Text435,购买成功,購買成功,購買成功
Text436,购买失败,購買失敗,購買失敗
Text437,您的激活码：（主角等级达到10级可见）,您的啟動碼：（主角等級達到10級可見）,您的啟動碼：（主角等級達到10級可見）
Text438,您的激活码：,您的啟動碼：,您的啟動碼：
Text439,本期忍者：,本期忍者：,本期忍者：
Text440,免费招财,免費招財,免費招財
Text443,前往购买,前往購買,前往購買
Text444,vip已达顶级,vip已達頂級,vip已達頂級
Text445,活动时间：[00ff00],活動時間：[00ff00],活動時間：[00ff00]
Text446,暂无活动,暫無活動,暫無活動
Text447,活动时间已过期,活動時間已過期,活動時間已過期
